,sepal length,sepal width,petal length,petal width,species
130,7.4,2.8,6.1,1.9,2
7,5.0,3.4,1.5,0.2,0
11,4.8,3.4,1.6,0.2,0
142,5.8,2.7,5.1,1.9,2
109,7.2,3.6,6.1,2.5,2
42,4.4,3.2,1.3,0.2,0
82,5.8,2.7,3.9,1.2,1
120,6.9,3.2,5.7,2.3,2
127,6.1,3.0,4.9,1.8,2
98,5.1,2.5,3.0,1.1,1
135,7.7,3.0,6.1,2.3,2
35,5.0,3.2,1.2,0.2,0
136,6.3,3.4,5.6,2.4,2
13,4.3,3.0,1.1,0.1,0
80,5.5,2.4,3.8,1.1,1
117,7.7,3.8,6.7,2.2,2
79,5.7,2.6,3.5,1.0,1
148,6.2,3.4,5.4,2.3,2
77,6.7,3.0,5.0,1.7,1
139,6.9,3.1,5.4,2.1,2
65,6.7,3.1,4.4,1.4,1
25,5.0,3.0,1.6,0.2,0
10,5.4,3.7,1.5,0.2,0
30,4.8,3.1,1.6,0.2,0
122,7.7,2.8,6.7,2.0,2
3,4.6,3.1,1.5,0.2,0
144,6.7,3.3,5.7,2.5,2
100,6.3,3.3,6.0,2.5,2
9,4.9,3.1,1.5,0.1,0
34,4.9,3.1,1.5,0.1,0
28,5.2,3.4,1.4,0.2,0
27,5.2,3.5,1.5,0.2,0
58,6.6,2.9,4.6,1.3,1
112,6.8,3.0,5.5,2.1,2
45,4.8,3.0,1.4,0.3,0
113,5.7,2.5,5.0,2.0,2
39,5.1,3.4,1.5,0.2,0
115,6.4,3.2,5.3,2.3,2
145,6.7,3.0,5.2,2.3,2
55,5.7,2.8,4.5,1.3,1
31,5.4,3.4,1.5,0.4,0
105,7.6,3.0,6.6,2.1,2
62,6.0,2.2,4.0,1.0,1
111,6.4,2.7,5.3,1.9,2
86,6.7,3.1,4.7,1.5,1
75,6.6,3.0,4.4,1.4,1
133,6.3,2.8,5.1,1.5,2
37,4.9,3.1,1.5,0.1,0
121,5.6,2.8,4.9,2.0,2
23,5.1,3.3,1.7,0.5,0
88,5.6,3.0,4.1,1.3,1
46,5.1,3.8,1.6,0.2,0
94,5.6,2.7,4.2,1.3,1
116,6.5,3.0,5.5,1.8,2
89,5.5,2.5,4.0,1.3,1
93,5.0,2.3,3.3,1.0,1
140,6.7,3.1,5.6,2.4,2
17,5.1,3.5,1.4,0.3,0
74,6.4,2.9,4.3,1.3,1
14,5.8,4.0,1.2,0.2,0
21,5.1,3.7,1.5,0.4,0
4,5.0,3.6,1.4,0.2,0
41,4.5,2.3,1.3,0.3,0
118,7.7,2.6,6.9,2.3,2
149,5.9,3.0,5.1,1.8,2
107,7.3,2.9,6.3,1.8,2
91,6.1,3.0,4.6,1.4,1
85,6.0,3.4,4.5,1.6,1
61,5.9,3.0,4.2,1.5,1
0,5.1,3.5,1.4,0.2,0
1,4.9,3.0,1.4,0.2,0
64,5.6,2.9,3.6,1.3,1
119,6.0,2.2,5.0,1.5,2
20,5.4,3.4,1.7,0.2,0
66,5.6,3.0,4.5,1.5,1
132,6.4,2.8,5.6,2.2,2
38,4.4,3.0,1.3,0.2,0
76,6.8,2.8,4.8,1.4,1
50,7.0,3.2,4.7,1.4,1
47,4.6,3.2,1.4,0.2,0
73,6.1,2.8,4.7,1.2,1
48,5.3,3.7,1.5,0.2,0
126,6.2,2.8,4.8,1.8,2
19,5.1,3.8,1.5,0.3,0
49,5.0,3.3,1.4,0.2,0
110,6.5,3.2,5.1,2.0,2
134,6.1,2.6,5.6,1.4,2
43,5.0,3.5,1.6,0.6,0
72,6.3,2.5,4.9,1.5,1
51,6.4,3.2,4.5,1.5,1
69,5.6,2.5,3.9,1.1,1
87,6.3,2.3,4.4,1.3,1
24,4.8,3.4,1.9,0.2,0
57,4.9,2.4,3.3,1.0,1
40,5.0,3.5,1.3,0.3,0
147,6.5,3.0,5.2,2.0,2
124,6.7,3.3,5.7,2.1,2
123,6.3,2.7,4.9,1.8,2
146,6.3,2.5,5.0,1.9,2
68,6.2,2.2,4.5,1.5,1
